transaction_id,timestamp,customer_id,amount,currency,merchant_category,payment_method,country,device_type,is_international,is_fraud
1,2026-01-01 00:00:00,90,11.04,USD,online_services,pix,BR,mobile,1,1
2,2026-01-01 00:05:00,774,19.27,USD,restaurants,card,CO,mobile,1,0
3,2026-01-01 00:10:00,655,43.47,USD,travel,card,BR,desktop,0,0
4,2026-01-01 00:15:00,439,17.67,USD,transport,card,US,mobile,1,0
5,2026-01-01 00:20:00,434,25.07,USD,utilities,pix,BR,mobile,1,0
6,2026-01-01 00:25:00,859,51.49,USD,restaurants,bank_transfer,BR,tablet,0,0
7,2026-01-01 00:30:00,86,23.36,USD,transport,card,BR,desktop,1,0
8,2026-01-01 00:35:00,698,41.52,USD,restaurants,pix,CO,mobile,1,0
9,2026-01-01 00:40:00,202,162.83,USD,online_services,pix,BR,desktop,0,0
10,2026-01-01 00:45:00,95,27.89,USD,travel,card,BR,desktop,0,0
11,2026-01-01 00:50:00,527,107.7,USD,restaurants,pix,BR,mobile,1,0
12,2026-01-01 00:55:00,976,57.94,USD,utilities,card,BR,mobile,1,0
13,2026-01-01 01:00:00,736,7.64,USD,transport,card,US,mobile,1,0
14,2026-01-01 01:05:00,762,11.0,USD,restaurants,card,AR,mobile,1,1
15,2026-01-01 01:10:00,718,14.39,USD,electronics,card,BR,mobile,1,0
16,2026-01-01 01:15:00,787,14.09,USD,utilities,pix,BR,tablet,0,0
17,2026-01-01 01:20:00,514,30.26,USD,utilities,bank_transfer,BR,mobile,0,0
18,2026-01-01 01:25:00,129,61.23,USD,groceries,card,BR,desktop,1,0
19,2026-01-01 01:30:00,840,116.18,USD,online_services,digital_wallet,BR,mobile,0,0
20,2026-01-01 01:35:00,451,45.07,USD,online_services,card,BR,mobile,1,1
21,2026-01-01 01:40:00,501,21.21,USD,transport,card,BR,mobile,1,0
22,2026-01-01 01:45:00,371,4.13,USD,travel,pix,BR,mobile,0,0
